amenities,wifi,furnished,Heat,Hydro,Water,pets,airConditioning,smoking,outdoorSpace,squareFootage,parkingAvailability,leasePeriod,bedrooms,bathrooms,buildingType,rent,location,laundry,dishwasher,fridge
Gym;;;;Bicycle Parking;Storage Space;;,,No,Yes,No,Yes,Yes,No,No,;Balcony;,1;350,0,1 Year,2,1,Apartment,$2360,81 Radcliffe Drive; Halifax; NS; B3M 4L4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,,600,0,1 Year,Bachelor/Studio,1,Basement,$1650,Cedar St; Halifax; NS B3H,,,
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,No,No,Outdoors only,,550,0,Month-to-month,1,1,Apartment,$2050,Tobin Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,1;200,1,1 Year,2,2,Apartment,Please Contact,B3P 0H3,,,
Gym;;;;Bicycle Parking;;Elevator in Building;,,No,No,No,Yes,Yes,No,No,;Balcony;,881,0,1 Year,1,1,Apartment,$1985,2074 Robie Street; Halifax; NS; B3K 5L3,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$2150,109 Greenpark Close; Halifax; NS; B3S 1R6,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;Storage Space;;,,No,Yes,No,Yes,Limited,Yes,No,,Not Available,0,1 Year,2 + Den,2,Apartment,$2345,461 Larry Uteck; Halifax; NS; B3M 0H3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Yes,Yes,No,Yard;Balcony;,Not Available,2,1 Year,2,1,Apartment,$1950,11 Equestrian Lane; Upper Hammonds Plains; NS; B4B 1P2,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;;,,No,Yes,No,Yes,No,No,No,;Balcony;,600,1,1 Year,1,1,Apartment,$1600,18 Penny Avenue; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Yes,No,Outdoors only,Yard;;,750,1,1 Year,1,1,Apartment,$1850,179 Lacewood Dr; Halifax; NS B3M 2N9,Laundry (In Building),,
,Cable / TV;Internet;,Yes,Yes,Yes,No,Limited,Yes,No,Yard;;,950,1,Month-to-month,1 + Den,1,Apartment,$1900,Brook Street; Halifax; NS,Laundry (In Unit),,
Gym;;;;Bicycle Parking;Storage Space;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,1;250,0,1 Year,1 + Den,1,Apartment,$2095,333 Main Avenue; Halifax; NS; B3S 0B6,Laundry (In Unit),Dishwasher,Fridge / Freezer
Gym;Pool;Concierge;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,Cable / TV;Internet;,No,No,Yes,Yes,Yes,Yes,No,;Balcony;,989,0,1 Year,2,2,Condo,$3660,1715 Lower Water Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,No,Outdoors only,Yard;;,1;800,2,1 Year,3 + Den,3.5,Townhouse,$3200,Halifax; NS B3M 4H2,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,,1;000,0,1 Year,3,1,Basement,$800,Halifax; NS; B3M4M9 ,,,
;;;24 Hour Security;;;;,,No,Yes,No,Yes,No,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,$1995,5511 Charles St.; Halifax; NS; B3K 1K1,Laundry (In Building),,Fridge / Freezer
Gym;;;;;Storage Space;Elevator in Building;,,No,,,,Limited,Yes,No,;Balcony;,848,0,1 Year,1,1,Apartment,$2295,Halifax; NS B3L 1A5,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;;;,,No,Yes,No,Yes,Limited,No,No,,700,0,1 Year,1,1,Apartment,$1695,3315 Westerwald Street; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,No,No,No,,500,1,1 Year,1 + Den,1,Apartment,Please Contact,6299 South St; Halifax; NS B3H 4J1,,,
,,No,,,,No,Yes,No,,900,0,1 Year,2 + Den,1,Apartment,$2200,3367 Federal Ave; Halifax; B3L 3X5,,,
,,,,,,,,,,,,,,,,Please Contact,6228 Duncan St; Halifax; NS B3L 1K3,,,
,;Internet;,Yes,,,,No,No,No,;Balcony;,1;500,1,1 Year,1,1,Basement,Please Contact,Halifax; NS B3K,Laundry (In Unit),,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,2;000,2,1 Year,3 + Den,2.5,House,Please Contact,90 Alderney Dr; Dartmouth; B2Y 4S8; B0J3A0,,,
,,Yes,,,,No,Yes,No,,1,0,Month-to-month,1,2,Apartment,$895,Jennings St; Halifax; NS B3H 2C4,,,
,,No,Yes,No,Yes,No,No,No,,600,0,Month-to-month,1,1,Apartment,$1125,Halifax; NS B3H 2N3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,No,No,Yes,Limited,Yes,No,Yard;Balcony;,900,2,1 Year,3,1,Apartment,Please Contact,Halifax; NS B3R 1B4,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,Outdoors only,,100,0,1 Year,1,1,Apartment,Please Contact,Halifax; NS B3L 4P3,,,
;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,,,,Yes,Yes,Outdoors only,;Balcony;,500,1,1 Year,2,2,Apartment,$2945,5548 Kaye St; Halifax; NS B3K 1Y5,Laundry (In Unit),,
Gym;Pool;;24 Hour Security;;;Elevator in Building;,Cable / TV;;,Yes,Yes,Yes,Yes,Yes,No,No,,555,0,1 Year,1,1,Condo,Please Contact,Duke Street; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,Limited,No,No,,850,1,1 Year,2,1,Apartment,$1795,Halifax; NS B3R 1R3,Laundry (In Building),,Fridge / Freezer
,,No,,,,Limited,No,Outdoors only,,741,0,1 Year,1 + Den,1,Apartment,$1875,3150 Barrington St; Halifax; NS B3K 0C6,,,
;;;;;Storage Space;Elevator in Building;,,No,Yes,Yes,Yes,No,No,Outdoors only,;Balcony;,450,1,1 Year,Bachelor/Studio,1,Apartment,$1750,Tobin Street; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,;Internet;,Yes,Yes,Yes,Yes,Yes,No,Outdoors only,,672,0,1 Year,2,1,Apartment,$1200,5651 Ogilvie St; Halifax; B3H 1B9,Laundry (In Building),,Fridge / Freezer
,,No,No,No,Yes,No,Yes,No,;Balcony;,1;000,1,1 Year,2 + Den,2,Apartment,$2200,Adelaide Avenue; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;Storage Space;;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,1,1,Apartment,$1839,85 Westgrove; 241 Willett Street; 235 Willett Street; Halifax; NS; B3M 3L7,Laundry (In Building),,Fridge / Freezer
Gym;;Concierge;24 Hour Security;Bicycle Parking;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,Yes,,Not Available,1,1 Year,2,1,Apartment,Please Contact,30 Ridgevalley Road; Halifax; NS; B3P 2J8,Laundry (In Building),,Fridge / Freezer
;;;;Bicycle Parking;;;,,No,Yes,No,Yes,Limited,No,Yes,;Balcony;,Not Available,0,1 Year,1,1,Apartment,Please Contact,1015 Barrington Street; Halifax; NS; B3H 4R4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,Yes,No,No,Yes,Limited,No,No,Yard;;,1;600,2,1 Year,3,3,House,$3000,Peggys Cove Road; Indian Harbour; NS,Laundry (In Unit),,
Gym;Pool;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,,,,Limited,No,Outdoors only,;Balcony;,1,1,Month-to-month,Bachelor/Studio,1,Apartment,$1530,5885 Cunard St; Halifax; NS B3K 1E3,Laundry (In Building),,Fridge / Freezer
Gym;;;;;;;,Cable / TV;Internet;,Yes,Yes,Yes,Yes,Limited,Yes,No,;Balcony;,564,0,Month-to-month,1,1,Condo,$2000,Seymour Street; Halifax; NS,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;24 Hour Security;;Storage Space;Elevator in Building;,,No,Yes,No,Yes,No,No,Yes,;Balcony;,1;350,1,1 Year,2,2,Apartment,$2095,Halifax; NS B3S 1P4,Laundry (In Unit),,
,,No,,,,Yes,Yes,Outdoors only,,660,1,1 Year,1,1,Apartment,$2045,1030 South Park St; Halifax; NS B3H 2W3,,,
Gym;;;24 Hour Security;Bicycle Parking;Storage Space;Elevator in Building;,,No,,,,No,No,No,,1;036,0,1 Year,1 + Den,2,Condo,$2200,Halifax; NS B3J 3T3,Laundry (In Unit),,
,,No,No,No,Yes,Limited,Yes,No,Yard;;,1;400,3+,1 Year,3,1,House,$2400,Halifax; NS B3N 2B2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Limited,No,No,,1;000,1,Month-to-month,1,3,House,$775,Coburg Rd; Halifax; B3H 1Z2,,,
,,No,,,,No,Yes,Outdoors only,,1;000,1,1 Year,1,1,Apartment,$1795,52 Supreme Ct; Halifax; NS B3N 2L4,,,
,,No,No,No,Yes,Limited,No,Outdoors only,Yard;;,1;200,3+,Month-to-month,2,1,Apartment,$700,Hacketts Cove; NS B3Z 3K3,Laundry (In Unit),,
,,No,Yes,Yes,Yes,Limited,No,No,Yard;Balcony;,1;200,1,1 Year,2,1,House,$2000,Halifax; NS B3L 2V7,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,Yes,No,Yes,No,No,No,Yard;Balcony;,1;800,2,1 Year,3,1.5,Duplex/Triplex,$2650,St Margarets Bay Rd; Lakeside; NS; B3T 1B2,,Dishwasher,Fridge / Freezer
,,Yes,,,,Yes,Yes,Outdoors only,,1;600,1,Month-to-month,2,2,Apartment,$1245,5633 Fenwick St; Halifax; NS B3H 4M2,,,
,Cable / TV;Internet;,Yes,Yes,Yes,Yes,No,Yes,Outdoors only,Yard;Balcony;,1;200,0,1 Year,5+,3,House,$1200,Robie Street; Halifax; NS,Laundry (In Unit),,
,,No,,,,Yes,Yes,No,,500,0,Month-to-month,1,1,Apartment,Please Contact,Barrington St; Halifax; B3J 2A4,,,
,,No,No,No,Yes,Limited,Yes,Outdoors only,,100,0,Month-to-month,2,1,Apartment,$250,South Park Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,No,Yes,Yes,Yes,Yes,Yes,Outdoors only,,800,1,1 Year,2,2,Condo,$2500,429 Parkland Dr; Halifax; NS B3S 1L3,,,
Gym;;;;;;Elevator in Building;,,No,No,No,Yes,Limited,Yes,No,,900,0,1 Year,1,1,Apartment,$1449,1585 Barrington St; Halifax; NS B3J 1Z8,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,No,Yes,No,,100,2,1 Year,2,1.5,Apartment,Please Contact,1333 S Park St; Halifax; B3J 2K9,,,
,,No,,,,Limited,Yes,Outdoors only,Yard;Balcony;,2;000,2,1 Year,3 + Den,3.5,Duplex/Triplex,$2600,Gala Court; Halifax; NS B3R 1X4,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,,1;000,0,1 Year,1 + Den,1,Apartment,$2200,Morris St; Halifax; NS B3J 1C4,,,
,,No,Yes,No,Yes,Limited,No,Outdoors only,,600,0,1 Year,1 + Den,1,Apartment,$1675,South Street; Halifax; NS,Laundry (In Building),,Fridge / Freezer
,,Yes,No,No,Yes,No,No,Outdoors only,;Balcony;,2;500,1,Month-to-month,3,1.5,Condo,$4100,Brunswick Street; Halifax; NS,Laundry (In Unit),,
,;Internet;,No,Yes,Yes,Yes,Limited,Yes,Outdoors only,Yard;Balcony;,500,1,1 Year,Bachelor/Studio,1,Basement,$1000,Smokey Drive; Lower Sackville; NS,Laundry (In Unit),,Fridge / Freezer
Gym;Pool;Concierge;24 Hour Security;;Storage Space;Elevator in Building;,,No,No,No,Yes,Yes,No,Outdoors only,;Balcony;,750,0,1 Year,1,1,Condo,Please Contact,Halifax; NS B3H 2Y1,Laundry (In Building),Dishwasher,Fridge / Freezer
;Pool;;;;;Elevator in Building;,,No,,,,Limited,No,Outdoors only,,920,1,1 Year,2,1,Condo,$2300,Kearney Lake Road; Halifax; NS,Laundry (In Unit),,
,,No,,,,Limited,Yes,Outdoors only,,1;200,1,1 Year,1,1,Apartment,$1795,52 Supreme Ct; Halifax; NS B3N 2L4,,,
,;Internet;,Yes,Yes,Yes,Yes,No,Yes,Outdoors only,Yard;Balcony;,132,1,Month-to-month,1,1,House,$850,Chebucto Road; Halifax; NS,Laundry (In Building),Dishwasher,Fridge / Freezer
Gym;;Concierge;24 Hour Security;;;;,,No,No,No,Yes,Limited,No,Yes,,Not Available,0,1 Year,2,2,Apartment,$3603,1545 / 1551 South Park Street; Halifax; NS; B3J 4B3,Laundry (In Unit),Dishwasher,Fridge / Freezer
,Cable / TV;Internet;,Yes,No,No,Yes,No,Yes,No,;Balcony;,1;700,2,Month-to-month,3,1,House,$3000,Halifax; NS B3M 1C2,Laundry (In Unit),Dishwasher,Fridge / Freezer
,,No,,,,Yes,No,No,,600,1,1 Year,2,1,Apartment,$1600,Agricola St; Halifax; B3K 4C7,,,
;;;;Bicycle Parking;;Elevator in Building;,;Internet;,Yes,Yes,No,Yes,Limited,Yes,No,,550,0,Month-to-month,1,1,Apartment,$1900,5510 Falkland St; Halifax; NS B3K 1A3,Laundry (In Unit),Dishwasher,Fridge / Freezer
;;;;;;Elevator in Building;,,No,Yes,No,Yes,Limited,No,No,;Balcony;,500,0,1 Year,Bachelor/Studio,1,Apartment,$2100,5633 Fenwick St; Halifax; NS; B3H 1R1,Laundry (In Unit),Dishwasher,Fridge / Freezer
